"       MASTER SPREADSHEET                        Fourteen Select Indexes - Daily Closing Values    January 1986 - July 26, 2019",,,,,,,,,,,,,,
"Sources: Bloomberg and Cboe Exchange, Inc.",Data providers such as Bloomberg (phone: 212-318-2000) can provide historical data for a fee.      Also visit www.Cboe.com/TradTool/,Past performance is not a guarantee of future returns.,"Supporting documentation for statistics or other technical data is available by calling 1-888-OPTIONS, sending an e-mail to help@Cboe.com, or by visiting www.Cboe.com. ","Options involve risk and are not suitable for all investors. Prior to buying or selling an option, a person must receive a copy of Characteristics and Risks of Standardized Options",,Please visit www.Cboe.com and us.spindices.com  for more information and disclosures.  ,"This spreadsheet is updated about once a year, and is based on data from secondary sources believed (but not guaranteed) to be accurate.",Indexes are not investable,,,,,,
1-Nov-2017,1346.02,5009.986,2579.36,1818.87,759.58,1933.96,10.2,8.85,2438.24,553.3,915.34,1792.75,762.33,809.03
2-Nov-2017,1346.55,5011.476,2579.85,1819.74,759.65,1934.76,9.93,8.78,2439.18,553.77,915.52,1793.45,762.8,809.05
3-Nov-2017,1348.84,5027.489,2587.84,1822.49,761.87,1941.02,9.14,8.09,2445.65,553.75,918.24,1797.82,762.92,811.61
6-Nov-2017,1350.03,5034.305,2591.13,1824,762.85,1943.69,9.4,8.08,2448.6,554.09,919.35,1799.8,763.14,812.63
7-Nov-2017,1349.99,5033.382,2590.64,1823.66,762.76,1943.5,9.89,8.63,2448.29,554.03,919.3,1799.54,763.05,812.53
8-Nov-2017,1350.78,5040.743,2594.38,1825.02,763.78,1946.44,9.78,8.35,2451.27,553.85,920.6,1801.58,763.21,813.64
9-Nov-2017,1349.05,5023.008,2584.62,1822.76,761.28,1939.79,10.5,9.26,2446.07,554.92,918.09,1797.37,764.04,810.87
10-Nov-2017,1349.42,5020.307,2582.3,1823.06,760.96,1938.86,11.29,9.8,2446.27,556.05,917.79,1797.09,764.62,810.4
13-Nov-2017,1350.89,5025.356,2584.84,1825.02,761.58,1940.88,11.5,9.94,2449.4,557.2,918.71,1798.99,765.49,811.12
14-Nov-2017,1350.49,5014.529,2578.87,1824.83,759.97,1936.72,11.59,9.82,2446.79,558.99,916.86,1796.96,766.22,809.32
15-Nov-2017,1347.88,4987.959,2564.62,1822.06,756.32,1926.48,13.13,11.36,2435.48,560.45,912.09,1790.83,766.38,805.05
16-Nov-2017,1353.91,5030.476,2585.64,1827.63,762.31,1942.9,11.76,9.48,2455.2,560.23,919.68,1801.21,766.59,811.84
17-Nov-2017,1353.83,5017.452,2578.85,1827.26,761.01,1938.22,11.43,9.75,2451.56,563.25,917.66,1799.51,767.38,809.73
20-Nov-2017,1355.67,5024.012,2582.14,1830.1,760.99,1940.95,10.65,8.91,2455.06,564.24,918.66,1802.16,768.34,810.3
21-Nov-2017,1360.1,5056.952,2599.03,1835.46,765.82,1952.45,9.73,8.13,2465.97,563.42,923,1810.14,768.13,815.15
22-Nov-2017,1360.33,5053.603,2597.08,1835.24,765.31,1951.31,9.88,8.12,2465.52,564.15,922.58,1809.49,768.61,814.58
24-Nov-2017,1361.5,5064.231,2602.42,1837.12,766.82,1954.62,9.67,8.51,2468.44,563.71,923.76,1811.95,768.17,816.15
27-Nov-2017,1361.84,5062.846,2601.42,1837.52,766.58,1954.57,9.87,8.64,2468.81,564.34,923.78,1812.11,768.58,815.88
28-Nov-2017,1364.34,5112.914,2627.04,1840.77,774.07,1967.12,10.03,9.03,2476.9,557.45,928.17,1819.55,763.38,823.77
29-Nov-2017,1364.09,5111.684,2626.07,1840.33,773.95,1966.54,10.7,9.78,2476.3,557.24,927.96,1819.06,763.07,823.66
30-Nov-2017,1365.32,5155.441,2647.58,1841.61,780.55,1973.07,11.28,10.36,2479.81,549.77,929.92,1822.72,757.51,830.66
1-Dec-2017,1365.21,5145.207,2642.22,1840.89,778.99,1971.83,11.43,10.86,2479.23,551.22,929.58,1821.78,757.93,829.06
4-Dec-2017,1365.3,5139.911,2639.44,1841.47,778.21,1972.3,11.68,10.46,2479.36,552.56,929.92,1822.28,759.18,828.18
5-Dec-2017,1365.27,5120.921,2629.57,1842.07,775.28,1971.17,11.33,9.92,2479.45,556.83,929.7,1822.04,762.55,825.02
6-Dec-2017,1365.97,5120.463,2629.27,1842.64,775.17,1971.9,11.02,9.71,2480.99,557.62,930.02,1822.65,763.15,824.9
7-Dec-2017,1367.09,5136.371,2636.98,1844.13,777.53,1976.17,10.16,9.56,2483.87,555.99,931.48,1825.37,761.74,827.34
8-Dec-2017,1368.01,5165.192,2651.5,1844.97,781.86,1981.51,9.58,8.54,2486.54,550.85,933.05,1828.26,756.59,831.93
11-Dec-2017,1368.2,5181.754,2659.99,1845.39,784.36,1983.24,9.34,7.76,2487.21,547.49,933.64,1829.26,753.52,834.57
12-Dec-2017,1368.02,5189.96,2664.11,1845.54,785.58,1983.03,9.92,8.33,2486.8,545.57,933.44,1829.23,751.74,835.88
13-Dec-2017,1367.69,5187.682,2662.85,1845.66,785.23,1983.02,10.18,8.56,2486.35,545.85,933.2,1829.28,751.11,835.49
14-Dec-2017,1368.25,5167.448,2652.01,1845.62,782.17,1982.99,10.49,8.69,2487.65,550.71,933.73,1829.24,755.5,832.24
15-Dec-2017,1372.34,5214.103,2675.81,1847.12,788.9,1990,9.42,7.88,2495.21,543.64,935.74,1834.38,747.92,839.77
18-Dec-2017,1373.82,5242.285,2690.16,1849.72,792.46,1997.65,9.53,7.96,2501.41,540.75,939.08,1839.66,746.29,843.97
19-Dec-2017,1372.68,5225.431,2681.47,1847.37,790.45,1993.03,10.03,8.52,2497.23,541.99,937.11,1836.36,746.86,841.45
20-Dec-2017,1373.04,5221.79,2679.25,1848.07,789.75,1992.91,9.72,8.4,2497.64,543.16,937.01,1836.65,747.98,840.74
21-Dec-2017,1374.01,5232.162,2684.57,1849.63,791.06,1996.17,9.62,8.33,2500.85,542.54,938.43,1838.93,747.6,842.26
22-Dec-2017,1373.3,5229.791,2683.34,1849.77,790.76,1995.97,9.9,8.45,2500.37,542.68,938.37,1838.9,747.75,841.94
26-Dec-2017,1373.06,5224.508,2680.5,1850.13,789.87,1994.73,10.25,7.83,2499.23,543.53,937.74,1838.5,748.42,840.98
27-Dec-2017,1374.99,5229.013,2682.62,1849.88,790.73,1997.17,10.47,8.9,2502.91,544.24,938.95,1839.51,748.95,841.81
28-Dec-2017,1377.78,5239.588,2687.54,1851.2,792.15,2001.35,10.18,8.43,2508.23,544.78,940.73,1842.09,749.61,843.31
29-Dec-2017,1374.25,5212.763,2673.61,1849.34,788.49,1992.1,11.04,9.46,2499.22,546.51,936.53,1836.89,750.57,839.07
2-Jan-2018,1380.19,5256.284,2695.81,1854.8,793.87,2007.59,9.77,8.16,2514.92,544.77,943.27,1846.75,750.24,845.59
3-Jan-2018,1382.22,5289.924,2713.06,1857.06,798.32,2016.96,9.15,7.99,2521.78,540.49,947.51,1852.21,747.54,850.84
4-Jan-2018,1383.05,5312.333,2723.99,1858.04,801.24,2021.32,9.22,8.32,2524.68,536.99,949.5,1854.7,744.62,854.38
5-Jan-2018,1384.48,5349.689,2743.15,1858.71,806.45,2027.03,9.22,8.56,2528.49,530.67,952.33,1857.68,739.26,860.32
8-Jan-2018,1384.72,5358.679,2747.71,1859.46,807.53,2028.97,9.52,8.61,2529.95,529.06,953.12,1858.94,738.32,861.7
9-Jan-2018,1383.89,5367.261,2751.29,1859.61,808.96,2028.15,10.08,9.19,2528.31,526.92,952.71,1858.64,736.48,863.08
10-Jan-2018,1384.83,5361.329,2748.23,1859.82,808.02,2029.35,9.82,8.74,2530.48,528.78,953.15,1859.29,737.83,862.11
11-Jan-2018,1385.45,5399.462,2767.56,1860.07,813.32,2031.43,9.88,8.88,2531.65,521.54,954.24,1860.38,732.3,868.21
12-Jan-2018,1385.15,5435.918,2786.24,1860.17,818.54,2032.5,10.16,9.3,2532,514.57,954.69,1860.93,730.02,874.06
16-Jan-2018,1384.86,5416.855,2776.42,1860.31,816.09,2031.48,11.66,10.8,2531.05,517.6,954.26,1860.51,731.23,871.04
17-Jan-2018,1385.58,5467.846,2802.56,1860.56,823.27,2032.82,11.91,10.83,2532.45,509.63,954.9,1861.26,728.74,879.2
18-Jan-2018,1385.07,5459.497,2798.03,1860.73,822.21,2032.12,12.22,11.04,2531.95,509.1,954.69,1861.02,728.65,877.84
19-Jan-2018,1385.38,5483.572,2810.3,1863.54,825.6,2034.82,11.27,10.41,2532.82,505.79,955.4,1861.86,728.66,881.36
22-Jan-2018,1388.97,5527.89,2832.97,1868.43,831.92,2046.66,11.03,10.05,2544.07,502.94,960.6,1869.82,726.92,888.06
23-Jan-2018,1390.05,5540.127,2839.13,1869.47,833.59,2049.51,11.1,10.45,2546.99,501.95,961.89,1871.65,726.47,889.83
24-Jan-2018,1389.46,5537.032,2837.54,1868.6,833.17,2047.7,11.47,11.36,2544.87,501.62,961.1,1870.38,726.12,889.35
25-Jan-2018,1390.29,5540.382,2839.25,1869,833.66,2049.13,11.58,11.51,2546.57,501.68,961.76,1871.24,726.26,889.85
26-Jan-2018,1394.34,5606.085,2872.87,1873.53,843.2,2061.74,11.08,11.47,2557.83,495.44,967.28,1879.29,722.02,900.09
29-Jan-2018,1390.46,5568.672,2853.53,1869.29,838.05,2052.82,13.84,13.81,2548.92,497.23,963.56,1873.09,723.39,894.5
30-Jan-2018,1385.82,5508.357,2822.43,1863.51,829.48,2039.53,14.79,14.54,2536.22,501.84,957.92,1864.11,726.22,885.33
31-Jan-2018,1387.35,5511.214,2823.81,1866,829.59,2041.79,13.54,13.77,2539.22,503.13,958.65,1866.38,727.4,885.36
1-Feb-2018,1388.5,5508.7,2821.98,1866.33,829.03,2042.35,13.47,13.44,2540.6,504.33,958.79,1866.8,728.53,884.79
2-Feb-2018,1371.66,5392.214,2762.13,1843.26,813.59,2004.72,17.31,16.82,2500.37,503.44,943.85,1838.05,726.58,868.65
5-Feb-2018,1318.55,5171.262,2648.94,1772.02,794.15,1921.4,37.32,35.94,2398.83,489.72,912.21,1764.36,708.69,852.89
6-Feb-2018,1339.4,5262.017,2695.14,1801.59,799.46,1953.71,29.98,24.93,2437.05,490.82,925.85,1793.9,713.37,855.97
7-Feb-2018,1336.22,5235.84,2681.66,1797.16,794.34,1947.41,27.73,21,2430.59,487.53,924.39,1788.8,713.58,848.93
8-Feb-2018,1286.7,5040.055,2581,1730.35,777.32,1874.72,33.46,32.36,2340.08,476.66,898.48,1722.21,688,839.01
9-Feb-2018,1306.34,5116.991,2619.55,1757.41,782,1903.31,29.06,26.16,2375.72,477.27,911.25,1748.79,693.46,839.4
12-Feb-2018,1324.74,5188.37,2656,1781.57,787.44,1929.99,25.61,21.09,2409.11,479.05,922.06,1773.06,702.29,841.06
13-Feb-2018,1328.4,5202.217,2662.94,1786.74,788.89,1935.25,24.97,20.3,2415.69,479.71,923.69,1778.04,705.03,841.37
14-Feb-2018,1346.58,5273.426,2698.63,1811.75,796.25,1961.74,19.26,17.55,2448.83,486.68,930,1802.64,721.05,847.19
15-Feb-2018,1363.2,5338.351,2731.2,1833.87,804.92,1985.91,19.13,17.26,2479,497.56,932.87,1824.74,733.65,856.71
16-Feb-2018,1367.13,5340.82,2732.22,1825.17,805.45,1989.12,19.46,17.38,2483.69,495.94,933.28,1828.51,735.71,857.77
20-Feb-2018,1363.85,5309.994,2716.26,1820.57,801.18,1981.2,20.6,18.2,2474.16,496.94,929.65,1822.54,735.89,853.51
21-Feb-2018,1359.78,5280.912,2701.33,1815.25,796.8,1972.54,20.02,18.21,2463.58,496.43,925.83,1815.88,735.82,849.11
22-Feb-2018,1362.07,5286.497,2703.96,1818.39,797.24,1975.43,18.72,17.77,2467.33,498.27,926.69,1818.77,736.6,849.42
23-Feb-2018,1376.39,5371.565,2747.3,1837.25,808.32,2003.59,16.49,14.92,2501.82,499.79,938.64,1841.16,738.74,860.12
26-Feb-2018,1382.75,5435.376,2779.6,1845.09,817.4,2019.28,15.8,14.21,2520.6,496.29,946.73,1852.29,737.77,869.4
27-Feb-2018,1374.64,5367.087,2744.28,1834.86,807.99,2000.96,18.59,16.85,2498.49,498.63,937.85,1838.72,738.12,859.95
28-Feb-2018,1367.68,5308.087,2713.83,1825.77,799.57,1983.85,19.85,18.14,2477.8,500.25,929.79,1826.29,738.32,851.34
1-Mar-2018,1354.92,5238.183,2677.67,1809.22,790.19,1959.58,22.47,20.44,2447.91,497.18,920.18,1806.83,736.12,842.35
2-Mar-2018,1361.71,5265.24,2691.25,1818.73,792.83,1969.75,19.59,19.08,2460.61,499.72,923.91,1816.26,737.93,844.59
5-Mar-2018,1372.76,5323.36,2720.94,1833.03,800.69,1990.41,18.73,16.98,2486.18,503,931.88,1832.9,740.2,851.92
6-Mar-2018,1376.33,5337.686,2728.12,1837.32,802.6,1996.03,18.36,16.75,2493.15,504.15,933.93,1837.62,740.97,853.71
7-Mar-2018,1376.85,5335.471,2726.8,1838.02,802.17,1996.14,17.76,16.69,2493.44,505.02,933.7,1838,741.38,853.17
8-Mar-2018,1381.3,5360.733,2738.97,1843.5,805.83,2004.99,16.54,16.13,2504.3,506.2,937.34,1844.81,741.76,856.86
9-Mar-2018,1389.87,5454.025,2786.57,1854.07,819.7,2032.96,14.64,13.91,2537.78,500.78,951.47,1862.98,741.05,871.36
12-Mar-2018,1389.77,5447.097,2783.02,1854.84,818.62,2032.12,15.78,14.07,2536.87,502.23,950.66,1862.96,741.65,870.21
13-Mar-2018,1390.28,5412.753,2765.31,1853.99,813.45,2024.46,16.35,14.84,2528.5,508.44,945.61,1858.99,742.62,864.72
14-Mar-2018,1388.44,5383.266,2749.48,1852.78,809.03,2014.99,17.23,15.41,2517.15,511.89,940.75,1854.01,742.72,860.06
15-Mar-2018,1391.25,5379.393,2747.33,1855.59,808.41,2014,16.59,14.73,2516.12,516.23,939.9,1854.95,743,859.32
16-Mar-2018,1394.47,5388.735,2752.01,1854.51,809.88,2019.29,15.8,14.11,2521.6,517.63,942.1,1859.38,743.17,860.91
19-Mar-2018,1381.63,5312.234,2712.92,1838.85,801.51,1994.67,19.02,17.04,2491.21,516.58,931.87,1840.13,741.49,851.46
20-Mar-2018,1383.3,5320.198,2716.94,1841.06,802.26,1997.63,18.2,16.44,2494.86,516.93,932.97,1842.6,741.98,852.13
21-Mar-2018,1382.65,5310.958,2711.93,1840.28,800.96,1995.15,17.86,16.7,2491.9,517.72,931.81,1841.07,742.04,850.65
22-Mar-2018,1353.42,5177.524,2643.69,1801.58,789.68,1947.18,23.34,22.11,2432.22,509.2,914.01,1799.6,734.67,837.29
23-Mar-2018,1326.97,5069.027,2588.26,1772.35,780.2,1906.9,24.87,24.7,2382.17,500.94,899.67,1763.33,725.65,828.49
26-Mar-2018,1360.39,5206.69,2658.55,1811.38,791.59,1957.6,21.03,20.18,2445.4,509.97,918.38,1809.32,736.59,838.39
27-Mar-2018,1339.05,5116.75,2612.62,1783.63,784.12,1924.62,22.5,22.88,2404.31,503.81,906.76,1780.23,729.37,830.71
28-Mar-2018,1335.47,5102.686,2605,1780.22,783.19,1919.41,22.87,23.79,2397.64,502.3,904.99,1776.08,728.18,828.9
29-Mar-2018,1352.79,5173.191,2640.87,1801.34,788.56,1945.56,19.97,22.05,2430.35,506.38,914.88,1798.75,733.9,834.06
2-Apr-2018,1324.57,5057.689,2581.88,1762.54,780.85,1902.95,23.62,25.32,2377.28,498.68,899.56,1759.72,722.18,826.41
3-Apr-2018,1341.22,5121.697,2614.45,1785.88,783.58,1927.17,21.1,22.81,2407.57,502.5,908.83,1782.55,729.7,829.12
4-Apr-2018,1356.07,5181.307,2644.69,1805.63,787.6,1949.34,20.06,21.9,2435.22,507.32,916.38,1802.65,735.47,833.84
5-Apr-2018,1365.69,5217.619,2662.84,1817.75,790.51,1963.12,18.94,19.98,2452.43,510.53,920.83,1815.06,739.08,836.64
6-Apr-2018,1337,5103.351,2604.47,1780.72,781.38,1920.28,21.49,22.93,2398.98,499.76,906.95,1776.81,729.08,826.25
9-Apr-2018,1341.94,5121.897,2613.16,1786.68,782.12,1927.41,21.77,22.82,2407.89,500.76,909.7,1783.08,730.64,827.18
10-Apr-2018,1363.7,5207.73,2656.87,1814.95,790,1959.49,20.47,21.16,2447.94,508.12,920.04,1812,739.73,834.18
11-Apr-2018,1356.86,5179.187,2642.19,1806.1,786.9,1948.91,20.24,20.81,2433.83,504.36,916.49,1802.36,738.45,829.98
12-Apr-2018,1368.27,5222.545,2663.99,1821.54,789.57,1965.28,18.49,19.29,2455.23,508.99,921.15,1817.97,743.23,833.98
13-Apr-2018,1364.71,5207.572,2656.3,1817.11,786.71,1959.69,17.41,17.89,2448.24,505.96,920.16,1813.18,743.56,831.01
16-Apr-2018,1375.79,5249.939,2677.84,1832.27,789.25,1975.67,16.56,16.19,2468.18,511.84,922.67,1828.13,748.06,835.72
17-Apr-2018,1390.34,5305.902,2706.39,1850.55,794.71,1996.7,15.25,14.41,2494.5,521.55,928.7,1846.96,749.78,844.08
18-Apr-2018,1391.7,5310.321,2708.64,1852.58,795.03,1998.43,15.6,14.63,2496.64,522.53,928.75,1848.78,750.19,844.6
19-Apr-2018,1383.99,5280.566,2693.13,1841.89,792.12,1987.27,15.96,15.26,2482.7,516.38,924.11,1838.29,750.44,839.75
20-Apr-2018,1372.44,5235.746,2670.14,1840.69,787.51,1970.86,16.88,16.72,2462.49,516.98,915.5,1823.91,750.38,832.79
23-Apr-2018,1373.64,5236.038,2670.29,1841.96,787.16,1972.01,16.34,16.21,2464.21,517.66,915.96,1825.12,751.4,832.23
24-Apr-2018,1362.02,5166.102,2634.56,1826.25,780.88,1949.21,18.02,18.38,2436.94,516.51,906.96,1806.79,749.43,823.09
25-Apr-2018,1363.58,5175.59,2639.4,1829.41,781.74,1952.43,17.84,18.57,2440.78,516.48,908.25,1809.84,749.66,824.22
26-Apr-2018,1373.81,5229.609,2666.94,1842.45,786.02,1970.81,16.24,16.92,2463.02,518.71,915.17,1824.81,752.05,830.87
27-Apr-2018,1376.43,5235.732,2669.91,1845.75,786.07,1974.24,15.41,15.82,2467.5,520.3,916.25,1828.03,753.58,831.13
30-Apr-2018,1370.82,5193.041,2648.05,1838.22,781.53,1960.88,15.93,16.3,2451.9,520.68,910.6,1818.12,753.57,824.82
1-May-2018,1373.87,5206.305,2654.8,1841.81,782.39,1965.88,15.49,15.53,2458.08,521.51,912.5,1822.2,754.49,826.36
2-May-2018,1367.32,5168.786,2635.67,1833.87,778.73,1952.75,15.97,16.74,2442.22,520,907.37,1812.2,753.56,820.95
3-May-2018,1365.63,5157.698,2629.73,1831.82,777.77,1949.01,15.9,16.5,2437.72,520.01,905.83,1809.45,753.31,819.43
4-May-2018,1379.44,5224.706,2663.42,1849.51,783.36,1973.37,14.77,15.26,2467.61,525.36,914.6,1829.49,756.31,828.47
7-May-2018,1383.25,5242.871,2672.63,1852.55,785.02,1980.14,14.75,14.91,2476.3,526.35,917.36,1834.18,756.99,830.95
8-May-2018,1383.52,5241.533,2671.92,1855.12,784.43,1980.16,14.71,14.71,2476.13,527.62,916.99,1835.41,757.59,830.56
9-May-2018,1390.98,5292.897,2697.79,1864.4,789.44,1998.18,13.42,13.88,2497.59,528.06,924.54,1848.37,758.09,838.3
10-May-2018,1395.25,5343.704,2723.07,1868.79,795.31,2013.12,13.23,13.21,2514.29,523.78,932.1,1857.48,757.05,846.3
11-May-2018,1396.14,5354.688,2727.72,1870.2,796.52,2017.13,12.65,12.57,2518.65,522.96,934.02,1860.03,757.22,848.01
14-May-2018,1396.29,5359.662,2730.13,1871.01,796.77,2019.75,12.93,12.37,2521.41,522.42,935.22,1861.65,757.81,848.74
15-May-2018,1395.82,5323.234,2711.45,1869.88,792.7,2010.44,14.63,13.69,2512.55,528.83,929.87,1856.78,758.86,843.05
16-May-2018,1397.49,5346.328,2722.46,1871.7,795.18,2019.07,13.42,12.94,2522.16,526.42,933.84,1861.68,759.07,846.61
17-May-2018,1397.86,5343.291,2720.13,1872.18,794.63,2019.6,13.43,12.98,2524.84,527.57,933.49,1862.16,759.38,846.09
18-May-2018,1396.92,5329.664,2712.97,1871.21,792.68,2015.49,13.42,13.31,2521.37,529.5,931.19,1859.88,759.99,843.97
21-May-2018,1402.24,5369.193,2733.01,1878,797.52,2027.43,13.08,12.18,2534.42,528.77,935.9,1868.75,759.91,849.53
22-May-2018,1400.64,5352.451,2724.44,1876.7,795.14,2022.98,13.22,12.46,2530.01,529.98,934,1866.04,760.74,846.92
23-May-2018,1404.02,5369.989,2733.29,1880.09,797.24,2029.48,12.58,11.82,2537.47,530.53,936.57,1870.73,761.36,849.37
24-May-2018,1403.66,5359.325,2727.76,1879.91,795.62,2027.37,12.53,10.53,2535.75,532.12,935.54,1869.55,762.51,847.71
25-May-2018,1402.43,5347.312,2721.33,1877.73,794.12,2023.94,13.22,12.74,2532.29,532.51,934.22,1866.98,762.8,845.94
29-May-2018,1392.19,5285.701,2689.86,1865.05,786.98,2002.37,17.02,15.41,2507.72,531.06,925.97,1850.7,761.04,837.5
30-May-2018,1403.43,5353.764,2724.01,1880.01,794.84,2026.05,14.94,13.56,2534.65,532.94,934.97,1869.06,763.12,846.8
31-May-2018,1399.5,5318.099,2705.27,1874.72,790.09,2014.7,15.43,13.98,2522.88,534.23,930.3,1861.18,763.56,841.48
1-Jun-2018,1407.71,5376.292,2734.62,1884.54,797.51,2034.37,13.46,12.52,2544.29,533.71,938.29,1875.14,763.88,849.92
4-Jun-2018,1410.11,5400.5,2746.87,1888.3,800.72,2041.91,12.74,11.84,2552.06,532.62,941.42,1880.47,763.54,853.51
5-Jun-2018,1410.66,5404.622,2748.8,1889.27,801.25,2043.63,12.4,11.88,2553.98,532.61,942.16,1881.74,763.71,854.09
6-Jun-2018,1413.13,5451.088,2772.35,1891.89,807.98,2054.84,11.64,11.38,2563.36,526.73,947.22,1888.21,760.02,861.33
7-Jun-2018,1413.29,5448.177,2770.37,1891.64,807.55,2054.63,12.13,11.73,2563.32,527.26,947.15,1888,760.6,860.87
8-Jun-2018,1414.19,5465.42,2779.03,1892.82,809.96,2058.23,12.18,11.33,2566.38,525.01,948.74,1890.24,758.98,863.49
11-Jun-2018,1414.65,5471.294,2782,1893.66,810.78,2059.52,12.35,11.01,2566.17,524.56,949.3,1891.24,758.42,864.4
12-Jun-2018,1415.13,5481.069,2786.85,1894.23,812.18,2062.63,12.34,11.07,2569.89,523.22,950.74,1892.95,757.98,865.9
13-Jun-2018,1415.1,5459.207,2775.63,1894.36,808.96,2060.65,12.94,11.83,2570.25,527.54,949.75,1892.1,762.02,862.44
14-Jun-2018,1415.36,5474.371,2782.49,1894.88,811.14,2065.32,12.12,10.51,2571.01,524.94,951.95,1894.51,761.28,864.82
15-Jun-2018,1414.6,5469.369,2779.66,1898.54,809.83,2067.11,11.98,11.01,2571.94,527.04,952.59,1894.49,764.8,863.65
18-Jun-2018,1414.24,5457.828,2773.75,1897.69,808.35,2064.91,12.31,11.18,2570.22,528.17,951.65,1892.98,765.62,861.96
19-Jun-2018,1410.98,5436.128,2762.59,1893.57,806.23,2057.99,13.35,11.47,2562.42,528.2,948.91,1887.75,765.4,859.04
20-Jun-2018,1412.89,5445.427,2767.32,1896.33,806.91,2061.46,12.79,11.81,2566.61,528.84,950.23,1890.71,765.99,860.11
21-Jun-2018,1407.43,5411.4,2749.76,1888.64,803.68,2049.82,14.64,13.44,2553.49,528.28,945.62,1881.54,765.04,855.86
22-Jun-2018,1410.01,5421.626,2754.88,1891.54,804.78,2053.96,13.77,12.85,2558.89,529.18,947.24,1884.88,766.35,856.79
25-Jun-2018,1396.19,5347.23,2717.07,1873.75,797.66,2027.02,17.33,15.8,2526.99,526.01,936.95,1863.66,762.56,847.64
26-Jun-2018,1398.79,5359.007,2723.06,1877.7,798.46,2031.53,15.92,15.2,2532.73,526.57,938.6,1867.68,763.46,848.48
27-Jun-2018,1389.24,5312.892,2699.63,1864.49,794.13,2013.76,17.91,17.29,2510.89,523.66,932.78,1852.95,761.09,842.84
28-Jun-2018,1396.3,5346.437,2716.31,1874.43,797.31,2027,16.85,16.18,2527.18,525.36,937.06,1863.98,762.95,846.65
29-Jun-2018,1398.71,5350.832,2718.37,1877.72,797.58,2028.46,16.09,15.26,2528.97,527.4,937.23,1866.28,764.82,846.88
2-Jul-2018,1402.64,5367.49,2726.71,1882.21,798.56,2035.28,15.6,14.49,2537.81,527.8,939.69,1871.64,765.72,848.2
3-Jul-2018,1396.82,5340.934,2713.22,1875.93,795.63,2025.38,16.14,15.34,2525.85,525.73,936.03,1863.96,764.48,844.5
5-Jul-2018,1407.47,5388.276,2736.61,1889.37,800.22,2043.07,14.97,14.96,2547.43,530.35,942.32,1878.76,767.53,850.62
6-Jul-2018,1417.04,5434.358,2759.82,1901.5,804.85,2060.31,13.37,12.71,2568.21,534.17,948.71,1892.71,769.81,856.91
9-Jul-2018,1424.91,5483.889,2784.17,1911.29,810.08,2078.39,12.69,11.13,2588.85,535.7,956.17,1905.88,770.68,864.36
10-Jul-2018,1427.07,5503.046,2793.84,1913.68,812.49,2085.34,12.64,11.51,2596.42,534.9,959.27,1910.26,770.67,867.31
11-Jul-2018,1423.19,5464.006,2774.02,1909.31,807.85,2071.82,13.63,12.44,2582.38,536.89,953.19,1901.87,771.11,861.23
12-Jul-2018,1428.81,5512.358,2798.29,1915.54,813.55,2089.06,12.58,11.44,2600.88,535.35,960.77,1912.89,771.14,868.62
13-Jul-2018,1429.93,5518.328,2801.31,1916.86,814.14,2091.6,12.18,11.06,2603.79,535.67,961.84,1914.7,771.44,869.53
16-Jul-2018,1429.96,5512.921,2798.43,1917.95,813.2,2090.35,12.83,11.08,2603.65,537.25,961.09,1914.66,772.05,868.66
17-Jul-2018,1431.1,5534.907,2809.55,1919.15,815.65,2098.15,12.06,11.01,2610.94,534.58,964.76,1918.84,771.81,872.09
18-Jul-2018,1431.94,5546.861,2815.62,1919.68,817.15,2103.02,12.1,10.62,2615.34,533.17,966.93,1921.34,772.12,873.94
19-Jul-2018,1432.38,5525.513,2804.49,1919.9,814.67,2095.69,12.87,11.36,2612.36,537.69,963.39,1918.08,772.58,870.57
20-Jul-2018,1433.25,5520.498,2801.83,1918.25,813.92,2094.35,12.86,11.41,2613.7,539.14,962.86,1918.58,772.99,869.78
23-Jul-2018,1435.24,5530.655,2806.98,1921.12,815.05,2098.28,12.62,10.91,2618.2,539.85,964.29,1921.79,773.68,871.08
24-Jul-2018,1438.39,5557.374,2820.4,1924.64,818.47,2106.6,12.41,11.02,2625.98,538.75,967.57,1927.37,773.01,875.03
25-Jul-2018,1442.46,5607.993,2846.07,1929.72,825.15,2120.18,12.29,10.55,2637.13,534.55,972.78,1936.14,770.63,882.59
26-Jul-2018,1441.62,5590.994,2837.44,1928.68,822.79,2116,12.14,11.23,2634.29,536.7,971.14,1933.7,771.7,879.98
27-Jul-2018,1439.42,5554.313,2818.82,1925.32,817.95,2106.37,13.03,11.54,2625.89,540.31,967.68,1927.6,774.53,874.49
30-Jul-2018,1435.19,5522.809,2802.6,1921.3,813.24,2095.71,14.26,12.87,2616.53,540.5,962.83,1920.7,774.19,869.66
31-Jul-2018,1439.65,5549.956,2816.29,1926.63,817.01,2105.77,12.83,11.59,2627.01,541.11,967.18,1927.97,775.09,873.5
1-Aug-2018,1439.43,5544.194,2813.36,1926.17,816.19,2104.25,13.15,11.63,2626.28,542.13,966.54,1927.05,775.54,872.59
2-Aug-2018,1443.48,5572.083,2827.22,1930.81,819.73,2114.25,12.19,10.86,2636.32,541.78,970.45,1933.95,775.6,876.57
3-Aug-2018,1446.4,5598.712,2840.35,1934.37,823.17,2123.35,11.64,10.14,2644.28,540.83,974.16,1939.91,775.18,880.61
